server_time,stimulus,user_id,test_id,stimulus_end,server_time_end,diff_seconds
2016-02-10 08:58:40.913,7e54c040c9,1216,2579,7e54c040c9_end,2016-02-10 09:00:14.188,93.275
2016-02-10 09:00:14.288,4c6bc3410e,1216,2579,4c6bc3410e_end,2016-02-10 09:00:28.332,14.044
2016-02-10 09:00:28.432,63f3e762b2,1216,2579,63f3e762b2_end,2016-02-10 09:00:38.601,10.169
2016-02-10 09:00:38.701,3d341de01f,1216,2579,3d341de01f_end,2016-02-10 09:00:44.516,5.815
2016-02-10 09:00:44.616,a3fcbe55cc,1216,2579,a3fcbe55cc_end,2016-02-10 09:00:50.135,5.519
2016-02-10 09:00:50.235,baseline_c3c7193209,1216,2579,baseline_c3c7193209_end,2016-02-10 09:01:13.467,23.232
2016-02-10 09:01:13.567,baseline_a734855777,1216,2579,baseline_a734855777_end,2016-02-10 09:02:13.544,59.977
2016-02-10 09:02:13.644,baseline_fab46b9478,1216,2579,baseline_fab46b9478_end,2016-02-10 09:02:23.002,9.358
2016-02-10 09:02:23.102,baseline_8633072397,1216,2579,baseline_8633072397_end,2016-02-10 09:02:53.117,30.015
2016-02-10 09:02:53.217,6d8b592ec2,1216,2579,6d8b592ec2_end,2016-02-10 09:02:56.178,2.961
2016-02-10 09:02:56.278,ab0bbc1dd1,1216,2579,ab0bbc1dd1_end,2016-02-10 09:03:06.527,10.249
2016-02-10 09:03:06.627,1a52569c96,1216,2579,1a52569c96_end,2016-02-10 09:03:36.603,29.976
2016-02-10 09:03:36.703,dcea3afdd4,1216,2579,dcea3afdd4_end,2016-02-10 09:03:44.585,7.882
2016-02-10 09:03:44.685,74d44bc770,1216,2579,74d44bc770_end,2016-02-10 09:06:04.663,139.978
2016-02-10 09:06:04.763,41b75436d1,1216,2579,41b75436d1_end,2016-02-10 09:06:21.078,16.315
2016-02-10 09:06:21.178,baseline_9c09ac9ccc,1216,2579,baseline_9c09ac9ccc_end,2016-02-10 09:06:24.138,2.96
2016-02-10 09:06:24.238,b9ef8156dd,1216,2579,b9ef8156dd_end,2016-02-10 09:06:27.199,2.961
2016-02-10 09:06:27.299,9cdb48e4c8,1216,2579,9cdb48e4c8_end,2016-02-10 09:06:30.306,3.007
2016-02-10 09:06:30.406,d69dcb2ea0,1216,2579,d69dcb2ea0_end,2016-02-10 09:06:33.364,2.958
2016-02-10 09:06:33.464,29e6b76e2c,1216,2579,29e6b76e2c_end,2016-02-10 09:06:36.424,2.96
2016-02-10 09:06:36.524,d7e494d6c0,1216,2579,d7e494d6c0_end,2016-02-10 09:06:39.482,2.958
2016-02-10 09:06:39.582,24c87bf23a,1216,2579,24c87bf23a_end,2016-02-10 09:06:42.550,2.968
2016-02-10 09:06:42.650,b99e43e937,1216,2579,b99e43e937_end,2016-02-10 09:06:45.607,2.957
2016-02-10 09:06:45.707,1687e01848,1216,2579,1687e01848_end,2016-02-10 09:06:48.669,2.962
2016-02-10 09:06:48.769,8a078dfd38,1216,2579,8a078dfd38_end,2016-02-10 09:06:51.725,2.956
2016-02-10 09:06:51.825,b21153b4f8,1216,2579,b21153b4f8_end,2016-02-10 09:06:54.838,3.013
2016-02-10 09:06:54.938,8636c37b38,1216,2579,8636c37b38_end,2016-02-10 09:07:46.189,51.251
2016-02-10 09:07:46.289,baseline_fac39e60d8,1216,2579,baseline_fac39e60d8_end,2016-02-10 09:07:49.263,2.974
2016-02-10 09:07:49.363,3285bf6e1c,1216,2579,3285bf6e1c_end,2016-02-10 09:07:52.326,2.963
2016-02-10 09:07:52.426,6fe3b580cc,1216,2579,6fe3b580cc_end,2016-02-10 09:07:55.387,2.961
2016-02-10 09:07:55.487,e45e03521f,1216,2579,e45e03521f_end,2016-02-10 09:07:58.452,2.965
2016-02-10 09:07:58.552,ae1b3a8406,1216,2579,ae1b3a8406_end,2016-02-10 09:08:01.512,2.96
2016-02-10 09:08:01.612,2039309390,1216,2579,2039309390_end,2016-02-10 09:08:04.573,2.961
2016-02-10 09:08:04.673,920f412a5a,1216,2579,920f412a5a_end,2016-02-10 09:08:07.633,2.96
2016-02-10 09:08:07.733,a533ab5d44,1216,2579,a533ab5d44_end,2016-02-10 09:08:10.702,2.969
2016-02-10 09:08:10.802,f37114ffd1,1216,2579,f37114ffd1_end,2016-02-10 09:08:13.791,2.989
2016-02-10 09:08:13.891,c860adb9f6,1216,2579,c860adb9f6_end,2016-02-10 09:08:16.876,2.985
2016-02-10 09:08:16.976,d6223bdf39,1216,2579,d6223bdf39_end,2016-02-10 09:08:20.013,3.037
2016-02-10 09:08:20.113,1b014b9af7,1216,2579,1b014b9af7_end,2016-02-10 09:08:48.059,27.946
2016-02-10 09:08:48.159,baseline_490e311fc8,1216,2579,baseline_490e311fc8_end,2016-02-10 09:08:51.135,2.976
2016-02-10 09:08:51.235,89c7682ff4,1216,2579,89c7682ff4_end,2016-02-10 09:09:21.698,30.463
2016-02-10 09:09:21.798,8b41ba384c,1216,2579,8b41ba384c_end,2016-02-10 09:09:55.633,33.835
2016-02-10 09:09:55.733,baseline_182fd4be6f,1216,2579,baseline_182fd4be6f_end,2016-02-10 09:09:58.704,2.971
2016-02-10 09:09:58.804,294fd820c9,1216,2579,294fd820c9_end,2016-02-10 09:10:29.296,30.492
2016-02-10 09:10:29.396,0800754f0c,1216,2579,0800754f0c_end,2016-02-10 09:11:06.119,36.723
2016-02-10 09:11:06.219,baseline_1e1bd4a159,1216,2579,baseline_1e1bd4a159_end,2016-02-10 09:11:09.194,2.975
2016-02-10 09:11:09.294,ebd9ecf361,1216,2579,ebd9ecf361_end,2016-02-10 09:11:12.334,3.04
2016-02-10 09:11:12.434,f6c5ad0caf,1216,2579,f6c5ad0caf_end,2016-02-10 09:11:15.398,2.964
2016-02-10 09:11:15.498,a3d3c5eb09,1216,2579,a3d3c5eb09_end,2016-02-10 09:11:18.505,3.007
2016-02-10 09:11:18.605,d549c487a8,1216,2579,d549c487a8_end,2016-02-10 09:11:21.563,2.958
2016-02-10 09:11:21.663,21998cfcf6,1216,2579,21998cfcf6_end,2016-02-10 09:11:24.628,2.965
2016-02-10 09:11:24.728,7916cf1a35,1216,2579,7916cf1a35_end,2016-02-10 09:11:27.689,2.961
2016-02-10 09:11:27.789,c59d326b74,1216,2579,c59d326b74_end,2016-02-10 09:11:30.751,2.962
2016-02-10 09:11:30.851,1ec5817b07,1216,2579,1ec5817b07_end,2016-02-10 09:11:33.853,3.002
2016-02-10 09:11:33.953,7ce8413cb7,1216,2579,7ce8413cb7_end,2016-02-10 09:11:36.916,2.963
2016-02-10 09:11:37.016,5c8b469c9d,1216,2579,5c8b469c9d_end,2016-02-10 09:11:39.977,2.961
2016-02-10 09:11:40.077,9528deebca,1216,2579,9528deebca_end,2016-02-10 09:12:06.937,26.86
